hour,volume_mean,volume_median,volume_q25,volume_q75,occupancy_mean,occupancy_median,occupancy_q25,occupancy_q75,duration_mean,duration_median,duration_q25,duration_q75
0,86.99723756906076,87.49999999999999,73.5,101.5,48.98066298342541,48.0,45.0,51.0,12.428176795580107,12.499999999999996,10.499999999999998,14.499999999999998
1,89.60773480662982,91.0,73.5,108.5,49.83977900552486,49.0,46.0,52.0,12.801104972375688,12.999999999999996,10.499999999999996,15.499999999999998
2,90.85497237569061,90.99999999999996,73.5,109.66666666666666,49.25966850828729,49.0,46.0,52.0,12.979281767955799,12.999999999999996,10.499999999999998,15.666666666666666
3,89.20810313075506,90.99999999999996,72.33333333333333,106.75,50.0414364640884,49.0,46.0,53.0,12.744014732965006,12.999999999999996,10.333333333333334,15.249999999999998
4,87.59346224677716,88.08333333333331,69.99999999999999,105.0,49.34254143646409,49.0,46.0,51.0,12.513351749539593,12.58333333333333,9.999999999999996,15.0
5,87.33885819521178,87.5,69.41666666666666,105.0,50.15469613259668,49.0,46.0,53.0,12.47697974217311,12.499999999999996,9.916666666666664,14.999999999999996
6,86.37523020257827,85.74999999999999,69.41666666666667,102.08333333333331,50.613259668508285,49.0,46.0,53.0,12.33931860036832,12.249999999999996,9.916666666666664,14.58333333333333
7,83.04604051565377,82.24999999999999,68.83333333333333,99.16666666666666,48.613259668508285,48.0,45.0,51.0,11.863720073664823,11.749999999999996,9.833333333333332,14.166666666666664
8,80.71915285451196,82.25,65.33333333333331,95.66666666666666,49.248618784530386,48.0,45.0,51.0,11.531307550644565,11.749999999999998,9.33333333333333,13.666666666666664
9,87.87384898710864,88.66666666666666,71.75,104.99999999999996,49.348066298342545,48.0,46.0,52.0,12.553406998158378,12.666666666666664,10.249999999999998,14.999999999999996
10,86.54604051565377,86.91666666666666,71.16666666666666,103.24999999999996,49.27624309392265,48.0,46.0,52.0,12.363720073664823,12.416666666666664,10.166666666666664,14.749999999999996
11,87.67725598526702,89.24999999999999,71.16666666666666,102.66666666666669,50.9171270718232,49.0,46.0,53.0,12.525322283609574,12.749999999999996,10.166666666666664,14.666666666666666
12,88.97605893186002,89.83333333333333,72.91666666666666,106.75,50.35911602209945,49.0,46.0,53.0,12.710865561694288,12.833333333333332,10.416666666666664,15.249999999999998
13,87.3098526703499,86.33333333333333,71.16666666666666,105.58333333333331,50.40331491712707,49.0,46.0,52.0,12.47283609576427,12.33333333333333,10.166666666666664,15.083333333333332
14,84.8830570902394,84.0,70.58333333333333,100.33333333333331,50.226519337016576,49.0,45.0,52.0,12.126151012891343,11.999999999999998,10.08333333333333,14.333333333333332
15,81.37661141804787,82.83333333333331,68.83333333333331,96.83333333333331,48.748618784530386,48.0,45.0,51.0,11.625230202578265,11.83333333333333,9.833333333333329,13.83333333333333
16,81.58609576427256,81.66666666666666,66.5,98.0,49.00828729281768,48.0,45.0,52.0,11.655156537753221,11.666666666666664,9.499999999999998,13.999999999999998
17,80.27762430939225,81.08333333333331,66.5,96.25,48.209944751381215,47.0,44.0,51.0,11.468232044198892,11.58333333333333,9.499999999999998,13.749999999999998
18,73.91896869244935,75.24999999999999,62.41666666666666,86.91666666666664,48.07734806629834,47.0,44.0,50.0,10.559852670349906,10.749999999999996,8.916666666666666,12.416666666666664
19,71.57274401473295,71.75,58.33333333333333,85.16666666666666,47.29281767955801,46.0,44.0,49.0,10.224677716390422,10.25,8.333333333333332,12.166666666666666
20,73.12292817679557,74.08333333333331,58.91666666666666,86.3333333333333,47.209944751381215,46.0,44.0,49.0,10.44613259668508,10.58333333333333,8.416666666666664,12.333333333333332
21,75.7624309392265,76.41666666666666,61.25,90.41666666666666,47.55801104972376,46.0,44.0,49.0,10.8232044198895,10.916666666666666,8.75,12.916666666666666
22,79.16574585635358,79.33333333333333,64.75,95.08333333333331,47.56629834254144,47.0,44.0,50.0,11.309392265193368,11.333333333333332,9.249999999999996,13.583333333333332
23,82.80432780847144,82.24999999999999,68.83333333333333,99.75,49.5414364640884,48.0,45.0,51.0,11.829189686924492,11.749999999999996,9.833333333333332,14.249999999999996
