hour,volume_mean,volume_median,volume_q25,volume_q75,occupancy_mean,occupancy_median,occupancy_q25,occupancy_q75,duration_mean,duration_median,duration_q25,duration_q75
0,55.626151012891334,56.00000000000001,45.49999999999999,66.49999999999999,14.828729281767956,14.0,12.0,19.0,8.92587476979742,9.0,7.666666666666664,10.0
1,55.171731123388575,56.00000000000001,45.49999999999999,66.49999999999999,14.6353591160221,14.0,12.0,18.0,8.855893186003682,9.0,7.999999999999997,10.0
2,55.279696132596676,57.16666666666666,45.49999999999999,66.49999999999999,14.552486187845304,14.0,12.0,18.0,8.872007366482503,8.999999999999998,7.916666666666665,10.083333333333332
3,55.11694290976059,57.74999999999999,45.49999999999999,66.49999999999999,14.585635359116022,14.0,12.0,18.0,8.836095764272558,9.0,7.999999999999997,10.333333333333332
4,55.10727440147329,58.33333333333332,45.49999999999999,66.49999999999999,14.596685082872929,14.0,12.0,18.0,8.83379373848987,9.0,7.749999999999998,10.083333333333332
5,54.95902394106813,56.00000000000001,45.49999999999999,66.49999999999999,14.6353591160221,14.0,12.0,18.0,8.811694290976058,9.0,7.499999999999998,10.499999999999998
6,55.18301104972376,56.58333333333333,45.49999999999999,66.49999999999999,14.607734806629834,14.0,11.0,19.0,8.845303867403313,9.0,7.499999999999998,10.333333333333332
7,53.8970994475138,55.12499999999999,44.04166666666666,64.16666666666664,14.441988950276244,13.0,11.0,18.0,8.56307550644567,8.833333333333332,7.08333333333333,9.999999999999998
8,52.98503683241252,53.66666666666665,41.99999999999999,64.16666666666667,14.099447513812155,13.0,11.0,18.0,8.500920810313074,8.5,6.999999999999999,10.166666666666664
9,54.778545119705335,57.75000000000001,41.99999999999999,66.5,14.513812154696133,13.0,11.0,18.0,8.754143646408838,9.0,6.999999999999999,10.666666666666664
10,53.774631675874765,54.833333333333336,40.25,66.49999999999999,14.58011049723757,14.0,11.0,18.0,8.607274401473296,8.999999999999998,6.749999999999998,10.666666666666664
11,53.21546961325966,54.54166666666666,40.833333333333314,66.49999999999999,13.911602209944752,13.0,11.0,17.0,8.513812154696131,8.749999999999998,6.499999999999998,10.083333333333332
12,53.53936464088397,55.41666666666665,41.12499999999998,66.5,13.651933701657459,13.0,11.0,16.0,8.576427255985267,8.999999999999998,6.499999999999998,10.583333333333332
13,53.29604051565377,55.70833333333332,40.83333333333333,66.5,13.685082872928177,13.0,11.0,16.0,8.555709023941066,8.75,6.583333333333332,10.833333333333332
14,52.39686924493554,53.08333333333333,38.5,66.5,13.707182320441989,14.0,11.0,16.0,8.439226519337016,8.916666666666664,6.416666666666664,10.333333333333332
15,51.22859116022099,52.5,38.5,66.49999999999999,13.453038674033149,13.0,10.0,16.0,8.281307550644566,8.5,6.333333333333332,10.25
16,50.71616022099447,51.625,38.5,63.583333333333336,13.497237569060774,13.0,10.0,17.0,8.21086556169429,8.416666666666666,6.583333333333332,10.0
17,50.24079189686924,49.58333333333333,37.33333333333333,62.70833333333333,13.453038674033149,13.0,11.0,17.0,8.139963167587476,8.249999999999998,6.249999999999999,9.916666666666664
18,50.474447513812144,50.16666666666666,38.5,62.99999999999999,13.74585635359116,14.0,11.0,16.0,8.208103130755063,8.166666666666664,6.333333333333333,9.999999999999998
19,51.87315837937385,52.5,41.41666666666666,63.58333333333333,14.033149171270718,14.0,11.0,17.0,8.427716390423573,8.583333333333332,6.916666666666666,10.0
20,52.32596685082872,52.5,42.0,62.99999999999999,14.237569060773481,14.0,11.0,18.0,8.478360957642725,8.75,6.999999999999998,10.0
21,53.312154696132595,52.50000000000001,42.0,63.0,14.281767955801104,13.0,12.0,17.0,8.62476979742173,8.833333333333332,7.0,10.0
22,54.30801104972376,54.83333333333334,44.333333333333314,64.74999999999999,14.596685082872929,14.0,12.0,18.0,8.75782688766114,8.999999999999998,7.333333333333333,10.0
23,54.94774401473296,56.0,45.49999999999999,66.20833333333331,14.657458563535911,14.0,12.0,18.0,8.840239410681399,9.0,7.416666666666666,10.0
