hour,volume_mean,volume_median,volume_q25,volume_q75,occupancy_mean,occupancy_median,occupancy_q25,occupancy_q75,duration_mean,duration_median,duration_q25,duration_q75
0,8.501841620626148,6.999999999999998,5.249999999999998,12.249999999999996,1.2403314917127073,1.0,1.0,2.0,1.2260589318600361,0.9999999999999994,0.7499999999999997,1.833333333333332
1,8.817679558011049,6.999999999999998,6.999999999999998,13.999999999999996,1.3756906077348066,1.0,1.0,2.0,1.2711786372007359,0.9999999999999994,0.9999999999999994,1.999999999999999
2,8.907918968692448,6.999999999999998,6.999999999999998,13.999999999999996,1.3867403314917126,1.0,1.0,2.0,1.2845303867403308,0.9999999999999994,0.9999999999999994,1.999999999999999
3,8.827348066298342,6.999999999999998,6.999999999999998,13.999999999999996,1.3977900552486189,1.0,1.0,2.0,1.2725598526703492,0.9999999999999994,0.9999999999999994,1.999999999999999
4,8.629143646408838,6.999999999999998,6.999999999999998,13.999999999999996,1.3646408839779005,1.0,1.0,2.0,1.2444751381215464,0.9999999999999994,0.9999999999999994,1.999999999999999
5,8.432550644567216,6.999999999999998,6.999999999999998,13.416666666666664,1.3646408839779005,1.0,1.0,2.0,1.2191528545119699,0.9999999999999994,0.9999999999999994,1.999999999999999
6,8.33747697974217,6.999999999999998,6.999999999999998,11.083333333333332,1.3149171270718232,1.0,1.0,2.0,1.2085635359116016,0.9999999999999994,0.9999999999999994,1.7499999999999991
7,8.153775322283607,6.999999999999998,6.999999999999998,11.083333333333332,1.270718232044199,1.0,1.0,2.0,1.1823204419889497,0.9999999999999994,0.9999999999999994,1.5833333333333326
8,8.369705340699813,6.999999999999998,6.416666666666665,12.249999999999998,1.3425414364640884,1.0,1.0,2.0,1.2090239410681394,0.9999999999999994,0.9999999999999994,1.9166666666666656
9,7.63489871086556,6.999999999999998,3.5,10.499999999999998,1.298342541436464,1.0,1.0,2.0,1.105432780847145,0.9999999999999994,0.4999999999999998,1.5833333333333326
10,6.958103130755064,6.999999999999998,1.1666666666666663,10.499999999999998,1.1353591160220995,1.0,0.0,2.0,1.0092081031307545,0.9999999999999994,0.1666666666666666,1.4999999999999991
11,6.635819521178636,6.999999999999998,1.1666666666666663,8.166666666666664,1.1104972375690607,1.0,1.0,2.0,0.9627071823204415,0.9999999999999994,0.1666666666666666,1.2499999999999991
12,6.323204419889501,6.999999999999998,0.0,6.999999999999998,1.0331491712707181,1.0,0.0,2.0,0.9143646408839774,0.9999999999999994,0.0,0.9999999999999996
13,6.192679558011048,6.999999999999998,0.0,6.999999999999998,1.0165745856353592,1.0,0.0,1.0,0.8936464088397785,0.9999999999999994,0.0,0.9999999999999994
14,5.9058471454880275,6.708333333333332,0.0,6.999999999999998,0.9723756906077348,1.0,0.0,1.0,0.855432780847145,0.9999999999999994,0.0,0.9999999999999994
15,5.725368324125229,5.249999999999998,0.0,6.999999999999998,0.9447513812154696,1.0,0.0,1.0,0.8310313075506442,0.7499999999999998,0.0,0.9999999999999994
16,6.05087476979742,6.999999999999998,1.1666666666666663,6.999999999999998,0.9779005524861878,1.0,0.0,1.0,0.8766114180478816,0.9999999999999994,0.1666666666666666,0.9999999999999996
17,6.510128913443829,6.999999999999998,1.7499999999999998,7.583333333333331,1.0607734806629834,1.0,0.0,1.0,0.9429097605893181,0.9999999999999994,0.2499999999999999,1.0833333333333328
18,6.640653775322282,6.999999999999998,3.499999999999999,6.999999999999998,1.0773480662983426,1.0,1.0,1.0,0.9571823204419885,0.9999999999999994,0.4999999999999998,0.9999999999999994
19,6.484346224677716,6.999999999999998,2.916666666666666,8.166666666666664,1.0607734806629834,1.0,1.0,2.0,0.931860036832412,0.9999999999999994,0.4166666666666665,1.166666666666666
20,7.283609576427255,6.999999999999998,2.916666666666666,10.499999999999998,1.0773480662983426,1.0,1.0,2.0,1.0497237569060767,0.9999999999999994,0.4166666666666665,1.5833333333333326
21,8.04258747697974,6.999999999999998,4.083333333333333,11.374999999999996,1.2541436464088398,1.0,1.0,2.0,1.1588397790055243,0.9999999999999994,0.583333333333333,1.666666666666666
22,8.182780847145485,6.999999999999998,4.083333333333333,11.666666666666664,1.2900552486187846,1.0,1.0,2.0,1.17817679558011,0.9999999999999994,0.583333333333333,1.999999999999999
23,8.076427255985266,6.999999999999998,5.249999999999998,11.083333333333332,1.3480662983425415,1.0,1.0,2.0,1.162983425414364,0.9999999999999994,0.7499999999999997,1.5833333333333326
